"Time","y","x_dfy","x_infl","x_svar","x_tms","x_tbl","x_dfr","x_dp","x_ltr","x_ep","x_bmr","x_ntis"
199310,0.0445160764918122,0.0068,0.002071823,0.000470675,0.0332,0.0295,0.0038,-3.60165020270626,5e-04,-3.11287271616203,0.322351822,0.041840711
199311,0.0114348898888379,0.0064,0.004135079,0.000314227,0.0321,0.0302,-0.0045,-3.61931702223726,0.0096,-3.10819794082037,0.311362833,0.040367136
199312,0.0350291313473839,0.0073,0.000686342,0.000576352,0.0341,0.031,0.0071,-3.60477621903785,-0.0259,-3.07187353776067,0.311079411,0.04383756
199401,0.0570599854890536,0.0076,0,0.000269682,0.0348,0.0306,0.0047,-3.61328108434195,0.002,-3.0591209218722,0.305267223,0.04572687
199402,-0.00584834312896829,0.0073,0.002743484,0.000423488,0.0339,0.0298,-0.0055,-3.64182802927731,0.0257,-3.07869689013908,0.288058567,0.043671135
199403,-0.0212411232894046,0.0068,0.003419973,0.001026077,0.0357,0.0325,0.0164,-3.60788936550894,-0.045,-3.03593098759257,0.299058821,0.045041132
199404,0.0374357693717901,0.00649999999999999,0.003408316,0.000892103,0.0375,0.035,0.0012,-3.55765010121397,-0.0395,-2.9769977678189,0.307483805,0.041905088
199405,0.03769408785622,0.0064,0.001358696,0.001373668,0.0377,0.0368,0.0053,-3.56576002113175,-0.015,-2.95256666121547,0.303664786,0.039845659
199406,-0.00179183805882167,0.0063,0.000678426,0.000750503,0.0345,0.0414,0.002,-3.57476717818588,-0.0082,-2.93025773796302,0.297469476,0.039641067
199407,0.0576273038790374,0.0068,0.003389831,0.000797133,0.036,0.0414,0.0019,-3.54425667139442,-0.01,-2.86958849120014,0.308417077,0.033995564
199408,0.0620868608956066,0.00689999999999999,0.002702703,0.000327283,0.0313,0.0433,-0.0054,-3.57295885365961,0.0363,-2.8727858921458,0.296985381,0.031211217
199409,-0.00341346626453668,0.00670000000000001,0.004043127,0.000560388,0.0313,0.0448,0.0055,-3.60762806200333,-0.0086,-2.88270406901848,0.285683819,0.028706518
199410,0.0451477908992088,0.0064,0.002684564,0.000801893,0.0338,0.0462,0.0066,-3.57809183841213,-0.0331,-2.82911550801521,0.290904659,0.029003295
199411,-0.0154901444215067,0.0063,0.000669344,0.001158428,0.0314,0.0495,-0.0025,-3.59236326952984,-0.0025,-2.81062711354619,0.286071274,0.026000495
199412,0.036937430578559,0.0064,0.001337793,0.000836399,0.0279,0.0529,-0.0048,-3.54574128759347,0.0066,-2.73268495647591,0.298992614,0.022917147
